Cohort Month,Cohort Index,Active Merchants
Apr-19,1,4
Apr-19,2,3
Apr-19,3,1
Apr-19,4,0
Apr-19,5,1
Apr-19,6,0
Apr-19,7,0
Apr-19,8,0
Apr-19,9,0
Apr-19,10,0
Apr-19,11,0
Apr-19,12,0
Apr-19,13,0
Apr-19,14,0
Apr-19,15,0
Apr-19,16,0
Apr-19,17,0
Apr-19,18,0
Apr-19,19,0
Apr-19,20,0
Apr-19,21,0
Apr-19,22,0
Apr-19,23,0
Apr-19,24,0
Apr-19,25,0
Apr-19,26,0
Apr-19,28,0
Apr-19,29,0
Apr-19,30,0
Apr-19,31,0
Apr-19,32,0
Apr-19,35,0
Apr-19,37,0
Apr-19,41,0
Apr-19,42,0
Apr-19,43,0
Apr-19,44,0
Apr-19,46,0
Apr-19,47,0
Apr-19,48,0
Apr-19,49,0
Apr-19,51,0
Apr-19,52,0
Apr-19,53,0
Apr-19,54,0
Apr-19,55,0
May-19,1,17
May-19,2,9
May-19,3,7
May-19,4,7
May-19,5,4
May-19,6,5
May-19,7,5
May-19,8,3
May-19,9,5
May-19,10,4
May-19,11,2
May-19,12,4
May-19,13,2
May-19,14,1
May-19,15,1
May-19,16,1
May-19,17,1
May-19,18,1
May-19,19,1
May-19,20,0
May-19,21,0
May-19,22,0
May-19,23,0
May-19,24,0
May-19,25,0
May-19,26,0
May-19,28,0
May-19,29,0
May-19,30,0
May-19,31,0
May-19,32,0
May-19,35,0
May-19,37,0
May-19,41,0
May-19,42,0
May-19,43,0
May-19,44,0
May-19,46,0
May-19,47,0
May-19,48,0
May-19,49,0
May-19,51,0
May-19,52,0
May-19,53,0
May-19,54,2
May-19,55,1
Jun-19,1,16
Jun-19,2,11
Jun-19,3,8
Jun-19,4,6
Jun-19,5,2
Jun-19,6,2
Jun-19,7,2
Jun-19,8,2
Jun-19,9,2
Jun-19,10,2
Jun-19,11,2
Jun-19,12,2
Jun-19,13,2
Jun-19,14,1
Jun-19,15,1
Jun-19,16,1
Jun-19,17,1
Jun-19,18,1
Jun-19,19,1
Jun-19,20,0
Jun-19,21,0
Jun-19,22,0
Jun-19,23,0
Jun-19,24,0
Jun-19,25,0
Jun-19,26,0
Jun-19,28,0
Jun-19,29,0
Jun-19,30,0
Jun-19,31,0
Jun-19,32,0
Jun-19,35,0
Jun-19,37,0
Jun-19,41,0
Jun-19,42,0
Jun-19,43,0
Jun-19,44,0
Jun-19,46,0
Jun-19,47,0
Jun-19,48,0
Jun-19,49,0
Jun-19,51,0
Jun-19,52,0
Jun-19,53,0
Jun-19,54,0
Jun-19,55,0
Jul-19,1,14
Jul-19,2,7
Jul-19,3,7
Jul-19,4,6
Jul-19,5,2
Jul-19,6,3
Jul-19,7,1
Jul-19,8,1
Jul-19,9,2
Jul-19,10,1
Jul-19,11,1
Jul-19,12,2
Jul-19,13,0
Jul-19,14,1
Jul-19,15,0
Jul-19,16,0
Jul-19,17,0
Jul-19,18,0
Jul-19,19,0
Jul-19,20,0
Jul-19,21,0
Jul-19,22,0
Jul-19,23,0
Jul-19,24,0
Jul-19,25,0
Jul-19,26,0
Jul-19,28,0
Jul-19,29,0
Jul-19,30,0
Jul-19,31,0
Jul-19,32,0
Jul-19,35,0
Jul-19,37,0
Jul-19,41,0
Jul-19,42,0
Jul-19,43,0
Jul-19,44,0
Jul-19,46,0
Jul-19,47,0
Jul-19,48,0
Jul-19,49,0
Jul-19,51,0
Jul-19,52,1
Jul-19,53,1
Jul-19,54,0
Jul-19,55,0
Aug-19,1,20
Aug-19,2,7
Aug-19,3,5
Aug-19,4,5
Aug-19,5,2
Aug-19,6,3
Aug-19,7,2
Aug-19,8,0
Aug-19,9,1
Aug-19,10,0
Aug-19,11,1
Aug-19,12,0
Aug-19,13,0
Aug-19,14,0
Aug-19,15,0
Aug-19,16,0
Aug-19,17,0
Aug-19,18,0
Aug-19,19,0
Aug-19,20,0
Aug-19,21,0
Aug-19,22,0
Aug-19,23,0
Aug-19,24,0
Aug-19,25,0
Aug-19,26,0
Aug-19,28,0
Aug-19,29,0
Aug-19,30,0
Aug-19,31,0
Aug-19,32,0
Aug-19,35,0
Aug-19,37,0
Aug-19,41,0
Aug-19,42,0
Aug-19,43,0
Aug-19,44,0
Aug-19,46,0
Aug-19,47,0
Aug-19,48,0
Aug-19,49,0
Aug-19,51,2
Aug-19,52,2
Aug-19,53,0
Aug-19,54,0
Aug-19,55,0
Sep-19,1,22
Sep-19,2,10
Sep-19,3,4
Sep-19,4,4
Sep-19,5,2
Sep-19,6,2
Sep-19,7,2
Sep-19,8,1
Sep-19,9,2
Sep-19,10,2
Sep-19,11,1
Sep-19,12,2
Sep-19,13,2
Sep-19,14,1
Sep-19,15,1
Sep-19,16,1
Sep-19,17,1
Sep-19,18,1
Sep-19,19,1
Sep-19,20,0
Sep-19,21,0
Sep-19,22,0
Sep-19,23,0
Sep-19,24,0
Sep-19,25,0
Sep-19,26,0
Sep-19,28,0
Sep-19,29,0
Sep-19,30,0
Sep-19,31,0
Sep-19,32,0
Sep-19,35,0
Sep-19,37,0
Sep-19,41,0
Sep-19,42,0
Sep-19,43,0
Sep-19,44,0
Sep-19,46,0
Sep-19,47,0
Sep-19,48,0
Sep-19,49,0
Sep-19,51,0
Sep-19,52,0
Sep-19,53,0
Sep-19,54,0
Sep-19,55,0
Oct-19,1,19
Oct-19,2,7
Oct-19,3,6
Oct-19,4,6
Oct-19,5,4
Oct-19,6,4
Oct-19,7,4
Oct-19,8,3
Oct-19,9,4
Oct-19,10,4
Oct-19,11,3
Oct-19,12,3
Oct-19,13,2
Oct-19,14,0
Oct-19,15,0
Oct-19,16,0
Oct-19,17,0
Oct-19,18,0
Oct-19,19,0
Oct-19,20,0
Oct-19,21,0
Oct-19,22,0
Oct-19,23,0
Oct-19,24,0
Oct-19,25,0
Oct-19,26,0
Oct-19,28,0
Oct-19,29,0
Oct-19,30,0
Oct-19,31,0
Oct-19,32,0
Oct-19,35,0
Oct-19,37,0
Oct-19,41,0
Oct-19,42,0
Oct-19,43,0
Oct-19,44,0
Oct-19,46,0
Oct-19,47,0
Oct-19,48,0
Oct-19,49,0
Oct-19,51,0
Oct-19,52,0
Oct-19,53,0
Oct-19,54,0
Oct-19,55,0
Nov-19,1,10
Nov-19,2,5
Nov-19,3,4
Nov-19,4,2
Nov-19,5,2
Nov-19,6,2
Nov-19,7,2
Nov-19,8,1
Nov-19,9,1
Nov-19,10,1
Nov-19,11,0
Nov-19,12,0
Nov-19,13,0
Nov-19,14,0
Nov-19,15,0
Nov-19,16,0
Nov-19,17,0
Nov-19,18,0
Nov-19,19,0
Nov-19,20,0
Nov-19,21,0
Nov-19,22,0
Nov-19,23,0
Nov-19,24,0
Nov-19,25,0
Nov-19,26,0
Nov-19,28,0
Nov-19,29,0
Nov-19,30,0
Nov-19,31,0
Nov-19,32,0
Nov-19,35,0
Nov-19,37,0
Nov-19,41,0
Nov-19,42,0
Nov-19,43,0
Nov-19,44,0
Nov-19,46,0
Nov-19,47,0
Nov-19,48,1
Nov-19,49,1
Nov-19,51,0
Nov-19,52,0
Nov-19,53,0
Nov-19,54,0
Nov-19,55,0
Dec-19,1,11
Dec-19,2,7
Dec-19,3,6
Dec-19,4,6
Dec-19,5,6
Dec-19,6,4
Dec-19,7,4
Dec-19,8,4
Dec-19,9,3
Dec-19,10,1
Dec-19,11,0
Dec-19,12,0
Dec-19,13,0
Dec-19,14,0
Dec-19,15,0
Dec-19,16,0
Dec-19,17,0
Dec-19,18,0
Dec-19,19,0
Dec-19,20,0
Dec-19,21,0
Dec-19,22,0
Dec-19,23,0
Dec-19,24,0
Dec-19,25,0
Dec-19,26,0
Dec-19,28,0
Dec-19,29,0
Dec-19,30,0
Dec-19,31,0
Dec-19,32,0
Dec-19,35,0
Dec-19,37,0
Dec-19,41,0
Dec-19,42,0
Dec-19,43,0
Dec-19,44,0
Dec-19,46,0
Dec-19,47,3
Dec-19,48,1
Dec-19,49,0
Dec-19,51,0
Dec-19,52,0
Dec-19,53,0
Dec-19,54,0
Dec-19,55,0
Jan-20,1,15
Jan-20,2,5
Jan-20,3,3
Jan-20,4,3
Jan-20,5,1
Jan-20,6,1
Jan-20,7,1
Jan-20,8,1
Jan-20,9,1
Jan-20,10,0
Jan-20,11,0
Jan-20,12,0
Jan-20,13,0
Jan-20,14,0
Jan-20,15,0
Jan-20,16,0
Jan-20,17,0
Jan-20,18,0
Jan-20,19,0
Jan-20,20,0
Jan-20,21,0
Jan-20,22,0
Jan-20,23,0
Jan-20,24,0
Jan-20,25,0
Jan-20,26,0
Jan-20,28,0
Jan-20,29,0
Jan-20,30,0
Jan-20,31,0
