Month,Total Rev,Total Large and XLarge Rev,Total Cash Collection Rev,Total Outside Cairo Rev,# Delivered Parcels,Total Collected Cash,# Cash Orders,# Credit Orders,# sign-ups,# active merchants,# new merchants,# retained merchants,# reactivated merchants,Delivery success Rate,FD Delivery success Rate,RTO Delivery success Rate
Apr-19,1314,0,34,45,6,945,5,0,10,5,5,0,0,1,1,0
May-19,31454.5,245,512,817.5,107,23650,50,4,15,20,16,4,0,0.96,0.96,0
Jun-19,54092.5,450,820,1142.5,163,42695,69,4,18,27,17,10,0,0.92,0.92,0
Jul-19,65279.5,715,907,1332.5,239,49935,115,11,14,32,13,19,0,0.91,0.91,0
Aug-19,70557.5,790,1180,1777.5,245,52305,118,15,16,43,20,22,1,0.81,0.82,0
Sep-19,72408.5,680,1311,1967.5,261,51510,142,17,20,46,22,23,1,0.76,0.77,0.33
Oct-19,80222.5,820,1340,1857.5,240,60240,124,12,21,45,19,24,2,0.84,0.86,0.64
Nov-19,59522,770,937,1325,179,44365,97,11,9,35,10,24,1,0.73,0.74,0.67
Dec-19,63995.5,285,1323,1712.5,235,46475,110,11,14,38,12,24,2,0.89,0.89,0.91
Jan-20,80710,660,1270,1960,224,62025,125,14,16,44,14,26,4,0.8,0.8,0.75
Feb-20,65547.5,850,1425,1962.5,216,46110,117,14,12,44,16,26,2,0.77,0.75,1
Mar-20,52131.5,630,1074,1397.5,142,37185,88,6,18,43,14,28,1,0.69,0.68,1
Apr-20,78559,745,1694,1690,252,57905,119,13,12,46,12,32,2,0.86,0.87,0
May-20,61943,745,1058,1515,213,46315,88,13,14,44,12,30,2,0.88,0.93,0.29
Jun-20,77227.5,645,1105,1832.5,247,59565,111,15,15,49,18,28,3,0.83,0.84,0.71
Jul-20,83063,880,1573,2710,254,58660,161,22,28,53,23,28,2,0.64,0.69,0.5
Aug-20,74728.5,665,1361,2232.5,247,53315,138,22,15,58,20,36,2,0.76,0.79,0.67
Sep-20,90372.5,870,1215,1702.5,224,74065,122,11,14,47,17,30,0,0.85,0.77,0.98
Oct-20,61694.5,625,1217,1457.5,228,45765,107,10,19,47,15,30,2,0.89,0.84,0.98
